project_name,vms_new_violations,all_violations
exp4j,0,0
HTTP-Proxy-Servlet,66,929
Yank,8,22
joda-time,43,1100
compile-testing,48,541
zt-exec,2,15
java-configuration-impl,8,68
embedded-jmxtrans,19,627
jgroups-aws,12,12
datasketches-java,34,96
jbehave-junit-runner,9,248
commons-lang,61,1220
smartsheet-java-sdk,300,598
commons-dbcp,2,40
jnr-posix,72,1659
commons-imaging,57,1064
javapoet,9,180
beanstalker,0,0
commons-io,94,1795
imglib2,78,1540
jscep,213,1706
stream-lib,16,300
